date,A,B
2025-07-01,3.0,42.0
2025-07-02,10.7,40.1
2025-07-03,,45.1
2025-07-04,0.9,40.7
2025-07-05,5.6,35.8
2025-07-06,10.2,
2025-07-07,10.5,41.9
2025-07-08,10.7,33.0
2025-07-09,12.7,43.9
2025-07-10,16.7,40.2
2025-07-11,18.3,37.2
2025-07-12,21.5,29.6
2025-07-13,23.0,38.8
2025-07-14,31.4,42.7
2025-07-15,16.5,31.7
2025-07-16,29.6,
2025-07-17,30.4,31.5
2025-07-18,30.9,33.3
2025-07-19,29.6,27.3
2025-07-20,33.9,33.3
2025-07-21,27.9,37.3
2025-07-22,38.5,28.2
2025-07-23,40.7,23.7
2025-07-24,36.4,26.2
2025-07-25,50.8,28.6
2025-07-26,41.7,22.2
2025-07-27,43.5,22.4
2025-07-28,50.9,22.1
2025-07-29,55.9,12.8
2025-07-30,40.4,18.0
2025-07-31,43.9,7.5
2025-08-01,46.9,9.4
2025-08-02,44.3,16.9
2025-08-03,52.8,13.9
2025-08-04,,6.7
2025-08-05,55.7,15.0
2025-08-06,52.8,1.7
2025-08-07,55.7,2.2
2025-08-08,45.7,3.0
2025-08-09,48.1,14.0
2025-08-10,54.5,2.4
2025-08-11,53.4,8.8
2025-08-12,48.2,10.3
2025-08-13,48.6,7.8
2025-08-14,46.8,17.1
2025-08-15,,13.6
2025-08-16,43.2,20.1
2025-08-17,,12.0
2025-08-18,51.8,13.6
2025-08-19,45.0,
2025-08-20,50.9,12.2
2025-08-21,47.3,20.1
2025-08-22,44.9,20.1
2025-08-23,38.7,25.9
2025-08-24,35.1,34.2
2025-08-25,37.7,24.7
2025-08-26,46.4,26.7
2025-08-27,41.9,
2025-08-28,33.3,24.4
2025-08-29,32.4,30.9
2025-08-30,28.5,29.2
2025-08-31,23.9,-35.6909228652262
2025-09-01,30.6,29.4
2025-09-02,37.1,24.6
2025-09-03,35.4,37.7
2025-09-04,28.1,
2025-09-05,20.2,37.5
2025-09-06,14.2,35.2
2025-09-07,24.9,39.6
2025-09-08,20.0,38.1
2025-09-09,14.3,36.9
2025-09-10,11.5,35.4
2025-09-11,15.0,38.5
2025-09-12,5.9,51.6
2025-09-13,,39.9
2025-09-14,0.0,32.4
2025-09-15,15.2,40.3
2025-09-16,1.4,32.5
2025-09-17,3.3,40.6
2025-09-18,8.0,47.8
2025-09-19,4.8,42.0
2025-09-20,1.6,42.5
2025-09-21,2.5,40.6
2025-09-22,6.2,45.1
2025-09-23,12.6,38.9
2025-09-24,17.2,40.1
2025-09-25,21.2,31.5
2025-09-26,10.2,43.5
2025-09-27,19.0,35.6
2025-09-28,20.0,34.1
2025-09-29,17.4,31.6
2025-09-30,22.0,36.5
2025-10-01,27.3,32.7
2025-10-02,24.6,31.2
2025-10-03,33.1,40.2
2025-10-04,39.3,32.6
2025-10-05,26.1,30.1
2025-10-06,37.3,28.4
2025-10-07,37.6,27.4
2025-10-08,38.5,24.4
2025-10-09,41.7,15.6
2025-10-10,34.4,27.0
2025-10-11,39.3,20.8
2025-10-12,43.8,14.9
2025-10-13,49.7,29.0
2025-10-14,42.7,17.3
2025-10-15,57.4,25.6
2025-10-16,111.74720975371051,4.8
2025-10-17,40.0,11.6
2025-10-18,47.1,10.8
2025-10-19,42.0,20.5
2025-10-20,54.7,12.1
2025-10-21,38.8,10.5
2025-10-22,43.9,2.4
2025-10-23,47.2,1.2
2025-10-24,52.8,11.5
2025-10-25,53.8,0.7
2025-10-26,50.4,7.6
2025-10-27,,6.6
2025-10-28,56.4,5.4
2025-10-29,49.6,8.5
2025-10-30,45.7,8.7
2025-10-31,44.4,17.4
2025-11-01,44.9,11.4
2025-11-02,55.1,11.9
2025-11-03,41.8,6.5
2025-11-04,46.4,18.4
2025-11-05,51.4,7.4
2025-11-06,45.3,27.2
2025-11-07,54.1,22.9
2025-11-08,40.4,33.9
2025-11-09,42.9,23.3
2025-11-10,47.5,27.3
2025-11-11,41.5,22.6
2025-11-12,42.3,25.0
2025-11-13,40.7,21.2
2025-11-14,47.4,20.4
2025-11-15,43.0,29.8
2025-11-16,,29.7
2025-11-17,33.7,25.6
2025-11-18,25.2,27.5
2025-11-19,31.6,33.1
2025-11-20,29.4,28.3
2025-11-21,27.5,
2025-11-22,24.3,30.1
2025-11-23,21.0,
2025-11-24,21.7,31.0
2025-11-25,14.9,31.7
2025-11-26,4.4,26.1
2025-11-27,18.1,37.6
